Name,Members
Brumski & Board,839
BUDS,616
Birmingham Investment and Finance,431
Cocktail,428
Computer Science Society (CSS),420
The University of Birmingham Guild of Students Yoga Society,405
African & Caribbean,377
Business,352
Islamic,345
Wayfarers Hiking Society,336
Psychology,322
Indian,313
Hindu,292
Dental Society (BUDSS),291
Mathsoc,279
Baking,268
Benchball,265
Pole Fitness,252
Politics,242
EconSoc,235
Craft,225
Redbrick,225
KCover,224
Brumsurf,218
History,210
Tabletop Gaming,205
BioSoc,203
Mixed Martial Arts,200
Anime & Manga,194
Nursing Society,193
Kickboxing,177
Potter Tea Society,177
Mountaineering,176
Sober Socials,174
Modern Languages,170
Bad Film,169
Book group,169
Filmsoc,161
Art Society,157
Hookers and Stitchers,157
Burn FM.com,152
ELSA,145
Philosophy,142
Rounders,138
PhotoSoc,135
Computer & Videogames,126
University of Birmingham Astronomical Society,125
UBCU,122
Debating,118
Rollerskate Society,116
Tea Society,116
Criminology,111
Liberal Arts & Natural Sciences,110
Sports Clubs,110
ABACUS,109
Jazz Funk & Soul,103
Pasta,102
Darts Society,101
Harry Potter,100
Buddhist Meditation,99
Civil Engineering,98
Powerlifting,98
Writer's Bloc,98
Pakistan,96
Jewish,95
DCL,92
Women in Law,92
Sign Language,90
Quiz Society,89
Chess,87
Sikh,86
Vegetarian & Vegan Soc,86
Canadian Society,80
Tamil,79
Women In Politics,79
Labour,77
Muay Thai Boxing,75
Panto,73
Esports,72
Devil’s Advocate Society,71
Punjabi,71
GMTG,70
Malaysian,70
UOB Girl Gamers,67
Saudi,66
Nerdsoc,65
Bengali,64
Metal,63
Poker,63
Pharmaceutical,61
Doctor Who,60
ELAL (English Language and Linguistics),60
LUM Soc,59
BALADS,58
Guild TV,56
Filipino,55
Weightlifting,55
Hong Kong PASS,53
LARP,53
Pilates Society,52
UoB Sing!,52
Pentecostal Christians,51
Planning,51
Real Ale & Cider,51
Welsh,51
History of Art,50
Linguist,50
Sitcom Society,50
Watch This,50
3Bugs Fringe Theatre Society,49
oSTEM,49
Self Defence for women and non-binary people,49
Gin,47
Hide and Seek Society,47
Chinese,46
University of Birmingham Rock Society,46
Singapore Society,45
Toastmasters,45
Catholic,43
Student Exchange,43
Caribbean Union,42
Ghanaian,42
BACAS,41
Islamic Arts and Heritage,41
Gilbert and Sullivan,40
PPE Society,40
Shakespeare,40
Calligraphy,39
Infinity Stage Company,39
Reclaim Society,39
Women in Medicine,39
Battle re-enactment,38
Bhangra,38
Birmingham Marxist Society,38
Neuroscience,37
Games Development,36
RailSoc,35
Scouts & Guides,35
Mooting,34
Navigators,33
Folk,32
A Cappella,31
Italian,29
Ahlul Bayt,28
Japan Society,28
Middle earth,28
SPEX,28
Taiwanese Society,27
German,25
Energy,24
Just Dance Society,24
Spanish,24
Article 19,22
Beer Pong Society,22
Education,22
Game of Thrones,22
Mantality Society,22
Law for Non-Law,21
Gospel Choir,19
PCOS Society,19
The Birmingham Footnotes Comedy Society,19
Conservatives,18
Afro-Dance,17
Live Art Society,17
Dancing Street Society,16
Psychedelics Research,16
Russian Speaking Society,16
Student Christian Movement,16
Black Law Students Society,15
Archaeology,14
Fitness and Wellbeing Society,14
SATNAV,14
Deeper Life,13
Polish,13
Sri Lankan Society,13
"Atheists, Secular & Humanist",12
Chinese Christians Fellowship,12
First Love,12
UoB Social Work Society,11
Assassin’s Guild,10
Liberal Democrats,10
North African,10
Gluten Free Society,9
Parkour,9
Adventist,8
Christians In Science,8
Kabaddi,8
Skateboarding,8
Turkish,7
Emirati Society,6
Lithuanian,6
Ahmadiyya Muslim,5
Growing In Faith & Truth,5
Hellenic & Cypriot,5
KASE: Knowledge And Skills Exchange,5
LapSoc,5
Nepalese,5
Croquet,4
Theology and Religion,4
Circus,3
Human Resources Society,3
Karaoke,3
Lebanese Society,3
Physiosoc,3
Silent Film,3
Wilderness Medicine,3
Greek and Cypriot Society,2
HSE,2
Omani Society,2
The End Time Mission,2
Consulting,1
Czech & Slovak,1
Life Ambassadors,1
Sudanese Society,1
